outbound_date,inbound_date,outbound_price,inbound_price
"December 31, 2024","January 15, 2025",GBP 461.89,GBP 831.10
"January 1, 2025","January 16, 2025",GBP 529.89,GBP 831.10
"January 2, 2025","January 17, 2025",GBP 791.89,"GBP 1,191.00"
"January 3, 2025","January 18, 2025",GBP 632.89,GBP 841.00
"January 4, 2025","January 19, 2025",GBP 791.89,GBP 710.10
"January 5, 2025","January 20, 2025",GBP 810.89,GBP 596.10
"January 7, 2025","January 22, 2025",GBP 606.89,GBP 538.10
"January 8, 2025","January 23, 2025",GBP 534.89,GBP 538.10
"January 9, 2025","January 24, 2025",GBP 678.89,GBP 520.10
"January 10, 2025","January 25, 2025",GBP 664.89,GBP 538.10
"January 11, 2025","January 26, 2025",GBP 664.89,GBP 538.10
"January 12, 2025","January 27, 2025",GBP 461.89,GBP 434.10
"January 14, 2025","January 29, 2025",GBP 620.89,GBP 538.10
"January 15, 2025","January 30, 2025",GBP 557.89,GBP 494.10
"January 16, 2025","January 31, 2025",GBP 678.89,GBP 719.00
"January 17, 2025","February 1, 2025",GBP 664.89,GBP 596.10
"January 18, 2025","February 2, 2025",GBP 627.89,GBP 487.10
"January 19, 2025","February 3, 2025",GBP 461.89,GBP 494.10
"January 21, 2025","February 5, 2025",GBP 606.89,GBP 487.10
"January 22, 2025","February 6, 2025",GBP 529.89,GBP 494.10
"January 23, 2025","February 7, 2025",GBP 479.89,GBP 504.00
"January 24, 2025","February 8, 2025",GBP 562.89,GBP 471.00
"January 25, 2025","February 9, 2025",GBP 678.89,GBP 471.00
"January 26, 2025","February 10, 2025",GBP 678.89,GBP 421.00
"January 28, 2025","February 12, 2025",GBP 550.89,GBP 393.10
"January 29, 2025","February 13, 2025",GBP 664.89,GBP 393.10
"January 30, 2025","February 14, 2025",GBP 620.89,GBP 437.10
"January 31, 2025","February 15, 2025","GBP 1,249.89",GBP 393.10
"February 1, 2025","February 16, 2025",GBP 627.89,GBP 393.10
"February 2, 2025","February 17, 2025",GBP 469.69,GBP 394.10
"February 4, 2025","February 19, 2025",GBP 543.89,GBP 411.10
"February 5, 2025","February 20, 2025",GBP 606.89,GBP 411.10
"February 6, 2025","February 21, 2025",GBP 620.89,GBP 419.10
"February 7, 2025","February 22, 2025",GBP 777.89,GBP 394.10
"February 8, 2025","February 23, 2025",GBP 620.89,GBP 411.10
"February 9, 2025","February 24, 2025",GBP 461.89,GBP 404.00
"February 11, 2025","February 26, 2025",GBP 475.89,GBP 422.00
"February 12, 2025","February 27, 2025",GBP 529.89,GBP 421.00
"February 13, 2025","February 28, 2025",GBP 475.89,GBP 520.10
"February 14, 2025","March 1, 2025",GBP 777.89,GBP 538.10
"February 15, 2025","March 2, 2025",GBP 523.89,GBP 421.00
"February 16, 2025","March 3, 2025",GBP 523.89,GBP 403.00
"February 18, 2025","March 5, 2025",GBP 475.89,GBP 394.10
"February 19, 2025","March 6, 2025",GBP 750.89,GBP 393.10
"February 20, 2025","March 7, 2025",GBP 500.89,GBP 460.10
"February 21, 2025","March 8, 2025",GBP 750.89,GBP 421.00
"February 22, 2025","March 9, 2025",GBP 500.89,GBP 422.00
"February 23, 2025","March 10, 2025",GBP 482.89,GBP 422.00
"February 25, 2025","March 12, 2025",GBP 583.89,GBP 403.00
"February 26, 2025","March 13, 2025",GBP 683.89,GBP 393.10
"February 27, 2025","March 14, 2025",GBP 576.89,GBP 403.00
"February 28, 2025","March 15, 2025",GBP 750.89,GBP 471.00
"March 1, 2025","March 16, 2025",GBP 516.89,GBP 419.10
"March 2, 2025","March 17, 2025",GBP 461.89,GBP 394.10
"March 4, 2025","March 19, 2025",GBP 475.89,GBP 404.00
"March 5, 2025","March 20, 2025",GBP 461.89,GBP 394.10
"March 6, 2025","March 21, 2025",GBP 475.89,GBP 420.10
"March 7, 2025","March 22, 2025",GBP 461.89,GBP 394.10
"March 8, 2025","March 23, 2025",GBP 562.89,GBP 419.10
"March 9, 2025","March 24, 2025",GBP 461.89,GBP 394.10
"March 11, 2025","March 26, 2025",GBP 461.89,GBP 404.00
"March 12, 2025","March 27, 2025",GBP 461.89,GBP 422.00
"March 13, 2025","March 28, 2025",GBP 461.89,GBP 460.10
"March 14, 2025","March 29, 2025",GBP 461.89,GBP 461.10
"March 15, 2025","March 30, 2025",GBP 475.89,GBP 431.10
"March 16, 2025","March 31, 2025",GBP 461.89,GBP 434.10
"March 18, 2025","April 2, 2025",GBP 461.89,GBP 501.10
"March 19, 2025","April 3, 2025",GBP 461.89,GBP 468.10
"March 20, 2025","April 4, 2025",GBP 475.89,GBP 513.10
"March 21, 2025","April 5, 2025",GBP 461.89,GBP 538.10
"March 22, 2025","April 6, 2025",GBP 461.89,GBP 453.10
"March 23, 2025","April 7, 2025",GBP 461.89,GBP 461.10
"March 25, 2025","April 9, 2025",GBP 475.89,GBP 557.10
"March 26, 2025","April 10, 2025",GBP 461.89,GBP 596.10
"March 27, 2025","April 11, 2025",GBP 461.89,GBP 557.10
"March 28, 2025","April 12, 2025",GBP 461.89,GBP 538.10
"March 29, 2025","April 13, 2025",GBP 475.89,GBP 480.10
"March 30, 2025","April 14, 2025",GBP 461.89,GBP 434.10
"April 1, 2025","April 16, 2025",GBP 477.89,GBP 615.10
"April 2, 2025","April 17, 2025",GBP 463.89,GBP 596.10
"April 3, 2025","April 18, 2025",GBP 545.89,GBP 615.10
"April 4, 2025","April 19, 2025",GBP 608.89,GBP 596.10
"April 5, 2025","April 20, 2025",GBP 680.89,GBP 615.10
"April 6, 2025","April 21, 2025",GBP 564.89,GBP 709.10
"April 8, 2025","April 23, 2025",GBP 477.89,GBP 480.10
"April 9, 2025","April 24, 2025",GBP 463.89,GBP 461.10
"April 10, 2025","April 25, 2025",GBP 477.89,GBP 557.10
"April 11, 2025","April 26, 2025",GBP 608.89,GBP 501.10
"April 12, 2025","April 27, 2025",GBP 495.89,GBP 480.10
"April 13, 2025","April 28, 2025",GBP 608.89,GBP 434.10
"April 15, 2025","April 30, 2025",GBP 477.89,GBP 453.10
"April 16, 2025","May 1, 2025",GBP 481.89,GBP 434.10
"April 17, 2025","May 2, 2025",GBP 495.89,GBP 431.10
"April 18, 2025","May 3, 2025",GBP 779.89,GBP 419.10
"April 19, 2025","May 4, 2025",GBP 545.89,GBP 453.10
"April 20, 2025","May 5, 2025",GBP 779.89,GBP 494.10
"April 22, 2025","May 7, 2025",GBP 463.89,GBP 460.10
"April 23, 2025","May 8, 2025",GBP 463.89,GBP 412.10
"April 24, 2025","May 9, 2025",GBP 463.89,GBP 453.10
"April 25, 2025","May 10, 2025",GBP 463.89,GBP 494.10
"April 26, 2025","May 11, 2025",GBP 495.89,GBP 513.10
"April 27, 2025","May 12, 2025",GBP 463.89,GBP 412.10
"April 29, 2025","May 14, 2025",GBP 477.89,GBP 453.10
"April 30, 2025","May 15, 2025",GBP 504.89,GBP 461.10
"May 1, 2025","May 16, 2025",GBP 477.89,GBP 513.10
"May 2, 2025","May 17, 2025",GBP 779.89,GBP 504.00
"May 3, 2025","May 18, 2025",GBP 477.89,GBP 413.10
"May 4, 2025","May 19, 2025",GBP 779.89,GBP 412.10
"May 6, 2025","May 21, 2025",GBP 477.89,GBP 480.10
"May 7, 2025","May 22, 2025",GBP 779.89,GBP 461.10
"May 8, 2025","May 23, 2025",GBP 477.89,GBP 413.10
"May 9, 2025","May 24, 2025",GBP 779.89,GBP 401.10
"May 10, 2025","May 25, 2025",GBP 484.89,GBP 431.10
"May 11, 2025","May 26, 2025",GBP 779.89,GBP 401.10
"May 13, 2025","May 28, 2025",GBP 477.89,GBP 480.10
"May 14, 2025","May 29, 2025",GBP 463.89,GBP 461.10
"May 15, 2025","May 30, 2025",GBP 477.89,GBP 431.10
"May 16, 2025","May 31, 2025",GBP 779.89,GBP 461.10
"May 17, 2025","June 1, 2025",GBP 495.89,GBP 431.10
"May 18, 2025","June 2, 2025",GBP 779.89,GBP 412.10
"May 20, 2025","June 4, 2025",GBP 477.89,GBP 453.10
"May 21, 2025","June 5, 2025",GBP 779.89,GBP 394.10
"May 22, 2025","June 6, 2025",GBP 477.89,GBP 431.10
"May 23, 2025","June 7, 2025","GBP 1,251.89",GBP 411.10
"May 24, 2025","June 8, 2025",GBP 484.89,GBP 431.10
"May 25, 2025","June 9, 2025",GBP 779.89,GBP 394.10
"May 27, 2025","June 11, 2025",GBP 477.89,GBP 453.10
"May 28, 2025","June 12, 2025",GBP 779.89,GBP 412.10
"May 29, 2025","June 13, 2025",GBP 477.89,GBP 431.10
"May 30, 2025","June 14, 2025",GBP 779.89,GBP 412.10
"May 31, 2025","June 15, 2025",GBP 545.89,GBP 412.10
"June 1, 2025","June 16, 2025",GBP 779.89,GBP 412.10
"June 3, 2025","June 18, 2025",GBP 545.89,GBP 480.10
"June 4, 2025","June 19, 2025",GBP 463.89,GBP 412.10
"June 5, 2025","June 20, 2025",GBP 463.89,GBP 513.10
"June 6, 2025","June 21, 2025",GBP 564.89,GBP 494.10
"June 7, 2025","June 22, 2025",GBP 484.89,GBP 513.10
"June 8, 2025","June 23, 2025",GBP 504.89,GBP 494.10
"June 10, 2025","June 25, 2025",GBP 545.89,GBP 480.10
"June 11, 2025","June 26, 2025",GBP 463.89,GBP 461.10
"June 12, 2025","June 27, 2025",GBP 463.89,GBP 513.10
